"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Mo Alie-Cox","TE","IND","@PIT","2.0","1.6","2.4","1.2","1.6","2.0","6.2","5.2","Main"
"Devaughn Vele","WR","NO","@LA","2.0","1.6","2.0","1.1","1.6","2.0","5.7","4.7","Main"
"Ashton Dulin","WR","IND","@PIT","1.9","1.6","1.9","1.3","1.6","1.9","6.3","5.5","Main"
"Dont'e Thornton","WR","LV","JAX","1.9","1.6","1.9","1.3","1.6","1.9","6.2","5.4","Main"
"Davis Allen","TE","LA","NO","1.9","1.6","2.3","1.2","1.6","1.9","6.1","5.2","Main"
"Drew Sample","TE","CIN","CHI","1.8","1.3","2.2","0.9","1.3","1.8","5.2","4.2","Main"
"Tyler Badie","RB","DEN","@HOU","1.8","1.4","1.8","1.0","1.4","1.8","5.4","4.4","Main"
"Trent Sherfield","WR","DEN","@HOU","1.8","1.5","1.8","1.1","1.5","1.8","5.2","4.4","Main"
"John FitzPatrick","TE","GB","CAR","1.8","1.4","2.1","1.1","1.4","1.8","5.8","4.9","Main"
"LeQuint Allen","RB","JAX","@LV","1.8","1.5","1.8","1.1","1.5","1.8","5.7","4.8","Main"
"John Bates","TE","WAS","SEA","1.7","1.4","2.1","1.0","1.4","1.7","5.4","4.5","Sunday"
"Tyrell Shavers","WR","BUF","KC","1.6","1.3","1.6","1.0","1.3","1.6","5.3","4.5","Main"
"Luke Musgrave","TE","GB","CAR","1.6","1.3","2.0","1.0","1.3","1.6","5.3","4.4","Main"
"Austin Trammell","WR","JAX","@LV","1.6","1.3","1.6","1.0","1.3","1.6","5.2","4.3","Main"
"Colby Parkinson","TE","LA","NO","1.6","1.3","1.9","1.0","1.3","1.6","5.2","4.4","Main"
"Kyle Williams","WR","NE","ATL","1.6","1.4","1.6","1.1","1.4","1.6","5.6","4.9","Main"
"Jackson Hawes","TE","BUF","KC","1.5","1.2","1.8","0.9","1.2","1.5","5.0","4.2","Main"
"Tyler Lockett","WR","LV","JAX","1.5","1.2","1.5","0.9","1.2","1.5","5.1","4.3","Main"
"Mitchell Evans","TE","CAR","@GB","1.4","1.0","1.7","0.7","1.0","1.3","4.2","3.4","Main"
"Adam Thielen","WR","MIN","@DET","1.4","1.1","1.4","0.9","1.1","1.4","4.7","3.9","Main"
"Kyler Murray","QB","ARI","@DAL","1.2","1.2","1.2","1.2","1.2","1.2","3.6","3.6","Monday"
"Charlie Kolar","TE","BAL","@MIA","1.2","1.0","1.4","0.8","1.0","1.2","4.5","3.8","Thursday"
"Chris Rodriguez","RB","WAS","SEA","1.2","1.2","1.2","1.2","1.2","1.2","4.0","4.0","Sunday"
"Tylan Wallace","WR","BAL","@MIA","1.1","0.9","1.1","0.7","0.9","1.1","4.3","3.6","Thursday"
