Draft,Team,Pick,Player,Position,NFL_Team,User,Fantasy QB,QB Team,Stacked,DBL Stack,QB Stack,Opponent,Double Run,Runback
6,8,65,Kyle Pitts,TE,Atlanta Falcons,KOBEGOAT2424,Justin Herbert,Los Angeles Chargers,0,,,New England Patriots,0,0
6,7,66,T.J. Hockenson,TE,Minnesota Vikings,URBANIK,Caleb Williams,Chicago Bears,0,,,Detroit Lions,0,0
6,6,67,Evan Engram,TE,Denver Broncos,RAZOR33,Josh Allen,Buffalo Bills,0,,,Houston Texans,0,0
6,5,68,Kayshon Boutte,WR,New England Patriots,BESTBALLVIPER,Drake Maye,New England Patriots,1,,,Atlanta Falcons,1,1
6,4,69,Dalton Kincaid,TE,Buffalo Bills,LENKEITH,Daniel Jones,Indianapolis Colts,0,,,Kansas City Chiefs,1,1
6,3,70,Jauan Jennings,WR,San Francisco 49ers,PATRICKBARN,Matthew Stafford,Los Angeles Rams,0,,,New York Giants,0,0
6,2,71,Geno Smith,QB,Las Vegas Raiders,SWEETPAPARON,Geno Smith,Las Vegas Raiders,1,1,1,Jacksonville Jaguars,0,0
6,1,72,Aaron Rodgers,QB,Pittsburgh Steelers,KCPOLACK,Aaron Rodgers,Pittsburgh Steelers,1,1,1,Indianapolis Colts,2,1
7,1,1,Jonathan Taylor,RB,Indianapolis Colts,LEE121503,Drake Maye,New England Patriots,0,,,Pittsburgh Steelers,0,0
7,2,2,Christian McCaffrey,RB,San Francisco 49ers,KRUTCHES93,Jaxson Dart,New York Giants,0,,,New York Giants,2,1
7,3,3,Jahmyr Gibbs,RB,Detroit Lions,SHAGNASTYB,Jared Goff,Detroit Lions,1,,,Minnesota Vikings,1,1
7,4,4,Ja'Marr Chase,WR,Cincinnati Bengals,LENKEITH,Jordan Love,Green Bay Packers,0,,,Chicago Bears,0,0
7,5,5,Bijan Robinson,RB,Atlanta Falcons,ICEYFFB,Bo Nix,Denver Broncos,0,,,New England Patriots,1,1
7,6,6,Puka Nacua,WR,Los Angeles Rams,BESTBALLVIPER,Justin Herbert,Los Angeles Chargers,0,,,New Orleans Saints,2,1
7,7,7,Josh Jacobs,RB,Green Bay Packers,BUSTERSBOYS,Caleb Williams,Chicago Bears,0,,,Carolina Panthers,0,0
7,8,8,Amon-Ra St. Brown,WR,Detroit Lions,WHODEYSSS,Patrick Mahomes,Kansas City Chiefs,0,,,Minnesota Vikings,0,0
7,9,9,Rashee Rice,WR,Kansas City Chiefs,COWBOYS282,Daniel Jones,Indianapolis Colts,0,,,Buffalo Bills,0,0
7,10,10,Davante Adams,WR,Los Angeles Rams,COWBOY5RINGS,Matthew Stafford,Los Angeles Rams,1,,,New Orleans Saints,1,1
7,11,11,Kyren Williams,RB,Los Angeles Rams,JASTA29,Trevor Lawrence,Jacksonville Jaguars,0,,,New Orleans Saints,0,0
7,12,12,Justin Jefferson,WR,Minnesota Vikings,LAZYKID,Josh Allen,Buffalo Bills,0,,,Detroit Lions,1,1
7,12,13,Josh Allen,QB,Buffalo Bills,LAZYKID,Josh Allen,Buffalo Bills,1,0,0,Kansas City Chiefs,1,1
7,11,14,James Cook,RB,Buffalo Bills,JASTA29,Trevor Lawrence,Jacksonville Jaguars,0,,,Kansas City Chiefs,0,0
7,10,15,Kimani Vidal,RB,Los Angeles Chargers,COWBOY5RINGS,Matthew Stafford,Los Angeles Rams,0,,,Tennessee Titans,0,0
7,9,16,D'Andre Swift,RB,Chicago Bears,COWBOYS282,Daniel Jones,Indianapolis Colts,0,,,Cincinnati Bengals,0,0
7,8,17,Patrick Mahomes,QB,Kansas City Chiefs,WHODEYSSS,Patrick Mahomes,Kansas City Chiefs,1,0,0,Buffalo Bills,0,0
7,7,18,Rome Odunze,WR,Chicago Bears,BUSTERSBOYS,Caleb Williams,Chicago Bears,1,,,Cincinnati Bengals,0,0
7,6,19,Ladd McConkey,WR,Los Angeles Chargers,BESTBALLVIPER,Justin Herbert,Los Angeles Chargers,1,,,Tennessee Titans,0,0
7,5,20,Ashton Jeanty,RB,Las Vegas Raiders,ICEYFFB,Bo Nix,Denver Broncos,0,,,Jacksonville Jaguars,0,0
7,4,21,Tucker Kraft,TE,Green Bay Packers,LENKEITH,Jordan Love,Green Bay Packers,1,,,Carolina Panthers,0,0
7,3,22,Chase Brown,RB,Cincinnati Bengals,SHAGNASTYB,Jared Goff,Detroit Lions,0,,,Chicago Bears,0,0
7,2,23,Tyler Warren,TE,Indianapolis Colts,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Pittsburgh Steelers,1,1
7,1,24,Nico Collins,WR,Houston Texans,LEE121503,Drake Maye,New England Patriots,0,,,Denver Broncos,0,0
7,1,25,Drake Maye,QB,New England Patriots,LEE121503,Drake Maye,New England Patriots,1,1,1,Atlanta Falcons,0,0
7,2,26,Jaylen Warren,RB,Pittsburgh Steelers,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Indianapolis Colts,1,1
7,3,27,George Kittle,TE,San Francisco 49ers,SHAGNASTYB,Jared Goff,Detroit Lions,0,,,New York Giants,0,0
7,4,28,Tyrone Tracy,RB,New York Giants,LENKEITH,Jordan Love,Green Bay Packers,0,,,San Francisco 49ers,0,0
7,5,29,DK Metcalf,WR,Pittsburgh Steelers,ICEYFFB,Bo Nix,Denver Broncos,0,,,Indianapolis Colts,0,0
7,6,30,Justin Herbert,QB,Los Angeles Chargers,BESTBALLVIPER,Justin Herbert,Los Angeles Chargers,1,1,1,Tennessee Titans,0,0
7,7,31,Travis Etienne Jr.,RB,Jacksonville Jaguars,BUSTERSBOYS,Caleb Williams,Chicago Bears,0,,,Las Vegas Raiders,0,0
7,8,32,Oronde Gadsden,TE,Los Angeles Chargers,WHODEYSSS,Patrick Mahomes,Kansas City Chiefs,0,,,Tennessee Titans,0,0
7,9,33,Brock Bowers,TE,Las Vegas Raiders,COWBOYS282,Daniel Jones,Indianapolis Colts,0,,,Jacksonville Jaguars,0,0
7,10,34,Rico Dowdle,RB,Carolina Panthers,COWBOY5RINGS,Matthew Stafford,Los Angeles Rams,0,,,Green Bay Packers,0,0
7,11,35,Michael Pittman Jr.,WR,Indianapolis Colts,JASTA29,Trevor Lawrence,Jacksonville Jaguars,0,,,Pittsburgh Steelers,0,0
7,12,36,Xavier Worthy,WR,Kansas City Chiefs,LAZYKID,Josh Allen,Buffalo Bills,0,,,Buffalo Bills,1,1
7,12,37,Rhamondre Stevenson,RB,New England Patriots,LAZYKID,Josh Allen,Buffalo Bills,0,,,Atlanta Falcons,0,0
7,11,38,Travis Hunter,WR,Jacksonville Jaguars,JASTA29,Trevor Lawrence,Jacksonville Jaguars,1,,,Las Vegas Raiders,0,0
7,10,39,Chris Olave,WR,New Orleans Saints,COWBOY5RINGS,Matthew Stafford,Los Angeles Rams,0,,,Los Angeles Rams,2,1
7,9,40,Drake London,WR,Atlanta Falcons,COWBOYS282,Daniel Jones,Indianapolis Colts,0,,,New England Patriots,0,0
7,8,41,Tee Higgins,WR,Cincinnati Bengals,WHODEYSSS,Patrick Mahomes,Kansas City Chiefs,0,,,Chicago Bears,0,0
7,7,42,Caleb Williams,QB,Chicago Bears,BUSTERSBOYS,Caleb Williams,Chicago Bears,1,1,1,Cincinnati Bengals,0,0
7,6,43,J.K. Dobbins,RB,Denver Broncos,BESTBALLVIPER,Justin Herbert,Los Angeles Chargers,0,,,Houston Texans,0,0
7,5,44,Stefon Diggs,WR,New England Patriots,ICEYFFB,Bo Nix,Denver Broncos,0,,,Atlanta Falcons,1,1
7,4,45,Kareem Hunt,RB,Kansas City Chiefs,LENKEITH,Jordan Love,Green Bay Packers,0,,,Buffalo Bills,0,0
7,3,46,Jordan Addison,WR,Minnesota Vikings,SHAGNASTYB,Jared Goff,Detroit Lions,0,,,Detroit Lions,2,1
7,2,47,Brian Thomas,WR,Jacksonville Jaguars,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Las Vegas Raiders,0,0
7,1,48,David Montgomery,RB,Detroit Lions,LEE121503,Drake Maye,New England Patriots,0,,,Minnesota Vikings,0,0
7,1,49,Travis Kelce,TE,Kansas City Chiefs,LEE121503,Drake Maye,New England Patriots,0,,,Buffalo Bills,0,0
7,2,50,Jaxson Dart,QB,New York Giants,KRUTCHES93,Jaxson Dart,New York Giants,1,1,1,San Francisco 49ers,1,1
7,3,51,Keenan Allen,WR,Los Angeles Chargers,SHAGNASTYB,Jared Goff,Detroit Lions,0,,,Tennessee Titans,0,0
7,4,52,Jordan Love,QB,Green Bay Packers,LENKEITH,Jordan Love,Green Bay Packers,1,2,1,Carolina Panthers,0,0
7,5,53,Dalton Kincaid,TE,Buffalo Bills,ICEYFFB,Bo Nix,Denver Broncos,0,,,Kansas City Chiefs,0,0
7,6,54,Alvin Kamara,RB,New Orleans Saints,BESTBALLVIPER,Justin Herbert,Los Angeles Chargers,0,,,Los Angeles Rams,1,1
7,7,55,Sam LaPorta,TE,Detroit Lions,BUSTERSBOYS,Caleb Williams,Chicago Bears,0,,,Minnesota Vikings,0,0
7,8,56,Tetairoa McMillan,WR,Carolina Panthers,WHODEYSSS,Patrick Mahomes,Kansas City Chiefs,0,,,Green Bay Packers,0,0
7,9,57,Daniel Jones,QB,Indianapolis Colts,COWBOYS282,Daniel Jones,Indianapolis Colts,1,0,0,Pittsburgh Steelers,0,0
7,10,58,Matthew Stafford,QB,Los Angeles Rams,COWBOY5RINGS,Matthew Stafford,Los Angeles Rams,1,1,1,New Orleans Saints,1,1
7,11,59,Kyle Pitts,TE,Atlanta Falcons,JASTA29,Trevor Lawrence,Jacksonville Jaguars,0,,,New England Patriots,0,0
7,12,60,Jameson Williams,WR,Detroit Lions,LAZYKID,Josh Allen,Buffalo Bills,0,,,Minnesota Vikings,1,1
7,12,61,Colston Loveland,TE,Chicago Bears,LAZYKID,Josh Allen,Buffalo Bills,0,,,Cincinnati Bengals,0,0
7,11,62,Trevor Lawrence,QB,Jacksonville Jaguars,JASTA29,Trevor Lawrence,Jacksonville Jaguars,1,1,1,Las Vegas Raiders,0,0
7,10,63,Hunter Henry,TE,New England Patriots,COWBOY5RINGS,Matthew Stafford,Los Angeles Rams,0,,,Atlanta Falcons,0,0
7,9,64,Quentin Johnston,WR,Los Angeles Chargers,COWBOYS282,Daniel Jones,Indianapolis Colts,0,,,Tennessee Titans,0,0
7,8,65,Woody Marks,RB,Houston Texans,WHODEYSSS,Patrick Mahomes,Kansas City Chiefs,0,,,Denver Broncos,0,0
7,7,66,Courtland Sutton,WR,Denver Broncos,BUSTERSBOYS,Caleb Williams,Chicago Bears,0,,,Houston Texans,0,0
7,6,67,Juwan Johnson,TE,New Orleans Saints,BESTBALLVIPER,Justin Herbert,Los Angeles Chargers,0,,,Los Angeles Rams,1,1
7,5,68,Bo Nix,QB,Denver Broncos,ICEYFFB,Bo Nix,Denver Broncos,1,0,0,Houston Texans,0,0
7,4,69,Romeo Doubs,WR,Green Bay Packers,LENKEITH,Jordan Love,Green Bay Packers,1,,,Carolina Panthers,0,0
7,3,70,Jared Goff,QB,Detroit Lions,SHAGNASTYB,Jared Goff,Detroit Lions,1,1,1,Minnesota Vikings,1,1
7,2,71,Wan'Dale Robinson,WR,New York Giants,KRUTCHES93,Jaxson Dart,New York Giants,1,,,San Francisco 49ers,1,1
7,1,72,Kayshon Boutte,WR,New England Patriots,LEE121503,Drake Maye,New England Patriots,1,,,Atlanta Falcons,0,0
8,1,1,Jonathan Taylor,RB,Indianapolis Colts,GABRAINOS,Daniel Jones,Indianapolis Colts,1,,,Pittsburgh Steelers,0,0
8,2,2,Christian McCaffrey,RB,San Francisco 49ers,FULLYLOADED,Brock Purdy,San Francisco 49ers,1,,,New York Giants,0,0
8,3,3,Jahmyr Gibbs,RB,Detroit Lions,RAIDERNATIO,Justin Herbert,Los Angeles Chargers,0,,,Minnesota Vikings,1,1
8,4,4,Ja'Marr Chase,WR,Cincinnati Bengals,KURUC711,Joe Flacco,Cincinnati Bengals,1,,,Chicago Bears,0,0
8,5,5,Josh Jacobs,RB,Green Bay Packers,ROTOSURGEON,Drake Maye,New England Patriots,0,,,Carolina Panthers,0,0
8,6,6,Puka Nacua,WR,Los Angeles Rams,DABK,Jordan Love,Green Bay Packers,0,,,New Orleans Saints,0,0
8,7,7,Bijan Robinson,RB,Atlanta Falcons,HUFFY09,Matthew Stafford,Los Angeles Rams,0,,,New England Patriots,1,1
8,8,8,Amon-Ra St. Brown,WR,Detroit Lions,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Minnesota Vikings,0,0
8,9,9,Rashee Rice,WR,Kansas City Chiefs,BUSTERSBOYS,Josh Allen,Buffalo Bills,0,,,Buffalo Bills,2,1
8,10,10,James Cook,RB,Buffalo Bills,D4VE,Caleb Williams,Chicago Bears,0,,,Kansas City Chiefs,0,0
8,11,11,Kyren Williams,RB,Los Angeles Rams,URBANIK,Michael Penix,Atlanta Falcons,0,,,New Orleans Saints,0,0
8,12,12,Patrick Mahomes,QB,Kansas City Chiefs,RAZOR33,Patrick Mahomes,Kansas City Chiefs,1,0,0,Buffalo Bills,0,0
8,12,13,Kimani Vidal,RB,Los Angeles Chargers,RAZOR33,Patrick Mahomes,Kansas City Chiefs,0,,,Tennessee Titans,0,0
8,11,14,Ashton Jeanty,RB,Las Vegas Raiders,URBANIK,Michael Penix,Atlanta Falcons,0,,,Jacksonville Jaguars,1,1
8,10,15,Justin Jefferson,WR,Minnesota Vikings,D4VE,Caleb Williams,Chicago Bears,0,,,Detroit Lions,0,0
8,9,16,Josh Allen,QB,Buffalo Bills,BUSTERSBOYS,Josh Allen,Buffalo Bills,1,1,1,Kansas City Chiefs,2,1
8,8,17,D'Andre Swift,RB,Chicago Bears,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Cincinnati Bengals,0,0
8,7,18,Jaylen Warren,RB,Pittsburgh Steelers,HUFFY09,Matthew Stafford,Los Angeles Rams,0,,,Indianapolis Colts,0,0
8,6,19,Rome Odunze,WR,Chicago Bears,DABK,Jordan Love,Green Bay Packers,0,,,Cincinnati Bengals,0,0
8,5,20,Tyler Warren,TE,Indianapolis Colts,ROTOSURGEON,Drake Maye,New England Patriots,0,,,Pittsburgh Steelers,0,0
8,4,21,Davante Adams,WR,Los Angeles Rams,KURUC711,Joe Flacco,Cincinnati Bengals,0,,,New Orleans Saints,0,0
8,3,22,DK Metcalf,WR,Pittsburgh Steelers,RAIDERNATIO,Justin Herbert,Los Angeles Chargers,0,,,Indianapolis Colts,0,0
8,2,23,Ladd McConkey,WR,Los Angeles Chargers,FULLYLOADED,Brock Purdy,San Francisco 49ers,0,,,Tennessee Titans,0,0
8,1,24,Tucker Kraft,TE,Green Bay Packers,GABRAINOS,Daniel Jones,Indianapolis Colts,0,,,Carolina Panthers,0,0
8,1,25,Chase Brown,RB,Cincinnati Bengals,GABRAINOS,Daniel Jones,Indianapolis Colts,0,,,Chicago Bears,0,0
8,2,26,George Kittle,TE,San Francisco 49ers,FULLYLOADED,Brock Purdy,San Francisco 49ers,1,,,New York Giants,0,0
8,3,27,Justin Herbert,QB,Los Angeles Chargers,RAIDERNATIO,Justin Herbert,Los Angeles Chargers,1,0,0,Tennessee Titans,0,0
8,4,28,Tyrone Tracy,RB,New York Giants,KURUC711,Joe Flacco,Cincinnati Bengals,0,,,San Francisco 49ers,0,0
8,5,29,Drake Maye,QB,New England Patriots,ROTOSURGEON,Drake Maye,New England Patriots,1,1,1,Atlanta Falcons,0,0
8,6,30,Brock Bowers,TE,Las Vegas Raiders,DABK,Jordan Love,Green Bay Packers,0,,,Jacksonville Jaguars,0,0
8,7,31,Chris Olave,WR,New Orleans Saints,HUFFY09,Matthew Stafford,Los Angeles Rams,0,,,Los Angeles Rams,1,1
8,8,32,Brian Thomas,WR,Jacksonville Jaguars,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Las Vegas Raiders,0,0
8,9,33,Travis Etienne Jr.,RB,Jacksonville Jaguars,BUSTERSBOYS,Josh Allen,Buffalo Bills,0,,,Las Vegas Raiders,0,0
8,10,34,Nico Collins,WR,Houston Texans,D4VE,Caleb Williams,Chicago Bears,0,,,Denver Broncos,0,0
8,11,35,Drake London,WR,Atlanta Falcons,URBANIK,Michael Penix,Atlanta Falcons,1,,,New England Patriots,0,0
8,12,36,Tee Higgins,WR,Cincinnati Bengals,RAZOR33,Patrick Mahomes,Kansas City Chiefs,0,,,Chicago Bears,1,1
8,12,37,Sam LaPorta,TE,Detroit Lions,RAZOR33,Patrick Mahomes,Kansas City Chiefs,0,,,Minnesota Vikings,0,0
8,11,38,Travis Hunter,WR,Jacksonville Jaguars,URBANIK,Michael Penix,Atlanta Falcons,0,,,Las Vegas Raiders,1,1
8,10,39,Rico Dowdle,RB,Carolina Panthers,D4VE,Caleb Williams,Chicago Bears,0,,,Green Bay Packers,0,0
8,9,40,Michael Pittman Jr.,WR,Indianapolis Colts,BUSTERSBOYS,Josh Allen,Buffalo Bills,0,,,Pittsburgh Steelers,0,0
8,8,41,Rhamondre Stevenson,RB,New England Patriots,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Atlanta Falcons,0,0
8,7,42,Matthew Stafford,QB,Los Angeles Rams,HUFFY09,Matthew Stafford,Los Angeles Rams,1,0,0,New Orleans Saints,1,1
8,6,43,Xavier Worthy,WR,Kansas City Chiefs,DABK,Jordan Love,Green Bay Packers,0,,,Buffalo Bills,0,0
8,5,44,Kareem Hunt,RB,Kansas City Chiefs,ROTOSURGEON,Drake Maye,New England Patriots,0,,,Buffalo Bills,0,0
8,4,45,Oronde Gadsden,TE,Los Angeles Chargers,KURUC711,Joe Flacco,Cincinnati Bengals,0,,,Tennessee Titans,0,0
8,3,46,Jordan Addison,WR,Minnesota Vikings,RAIDERNATIO,Justin Herbert,Los Angeles Chargers,0,,,Detroit Lions,1,1
8,2,47,Tetairoa McMillan,WR,Carolina Panthers,FULLYLOADED,Brock Purdy,San Francisco 49ers,0,,,Green Bay Packers,0,0
8,1,48,Jameson Williams,WR,Detroit Lions,GABRAINOS,Daniel Jones,Indianapolis Colts,0,,,Minnesota Vikings,0,0
8,1,49,Daniel Jones,QB,Indianapolis Colts,GABRAINOS,Daniel Jones,Indianapolis Colts,1,1,1,Pittsburgh Steelers,0,0
8,2,50,J.K. Dobbins,RB,Denver Broncos,FULLYLOADED,Brock Purdy,San Francisco 49ers,0,,,Houston Texans,0,0
8,3,51,Alvin Kamara,RB,New Orleans Saints,RAIDERNATIO,Justin Herbert,Los Angeles Chargers,0,,,Los Angeles Rams,0,0
8,4,52,Wan'Dale Robinson,WR,New York Giants,KURUC711,Joe Flacco,Cincinnati Bengals,0,,,San Francisco 49ers,0,0
8,5,53,Stefon Diggs,WR,New England Patriots,ROTOSURGEON,Drake Maye,New England Patriots,1,,,Atlanta Falcons,0,0
8,6,54,David Montgomery,RB,Detroit Lions,DABK,Jordan Love,Green Bay Packers,0,,,Minnesota Vikings,0,0
8,7,55,Keenan Allen,WR,Los Angeles Chargers,HUFFY09,Matthew Stafford,Los Angeles Rams,0,,,Tennessee Titans,0,0
8,8,56,Jaxson Dart,QB,New York Giants,KRUTCHES93,Jaxson Dart,New York Giants,1,0,0,San Francisco 49ers,0,0
8,9,57,Travis Kelce,TE,Kansas City Chiefs,BUSTERSBOYS,Josh Allen,Buffalo Bills,0,,,Buffalo Bills,2,1
8,10,58,Caleb Williams,QB,Chicago Bears,D4VE,Caleb Williams,Chicago Bears,1,1,1,Cincinnati Bengals,0,0
8,11,59,Kyle Pitts,TE,Atlanta Falcons,URBANIK,Michael Penix,Atlanta Falcons,1,,,New England Patriots,0,0
8,12,60,D.J. Moore,WR,Chicago Bears,RAZOR33,Patrick Mahomes,Kansas City Chiefs,0,,,Cincinnati Bengals,1,1
8,12,61,TreVeyon Henderson,RB,New England Patriots,RAZOR33,Patrick Mahomes,Kansas City Chiefs,0,,,Atlanta Falcons,0,0
8,11,62,Michael Penix,QB,Atlanta Falcons,URBANIK,Michael Penix,Atlanta Falcons,1,2,1,New England Patriots,0,0
8,10,63,Colston Loveland,TE,Chicago Bears,D4VE,Caleb Williams,Chicago Bears,1,,,Cincinnati Bengals,0,0
8,9,64,Khalil Shakir,WR,Buffalo Bills,BUSTERSBOYS,Josh Allen,Buffalo Bills,1,,,Kansas City Chiefs,2,1
8,8,65,Dalton Kincaid,TE,Buffalo Bills,KRUTCHES93,Jaxson Dart,New York Giants,0,,,Kansas City Chiefs,0,0
8,7,66,Hunter Henry,TE,New England Patriots,HUFFY09,Matthew Stafford,Los Angeles Rams,0,,,Atlanta Falcons,1,1
8,6,67,Jordan Love,QB,Green Bay Packers,DABK,Jordan Love,Green Bay Packers,1,0,0,Carolina Panthers,0,0
8,5,68,Courtland Sutton,WR,Denver Broncos,ROTOSURGEON,Drake Maye,New England Patriots,0,,,Houston Texans,0,0
8,4,69,Joe Flacco,QB,Cincinnati Bengals,KURUC711,Joe Flacco,Cincinnati Bengals,1,1,1,Chicago Bears,0,0
8,3,70,Theo Johnson,TE,New York Giants,RAIDERNATIO,Justin Herbert,Los Angeles Chargers,0,,,San Francisco 49ers,0,0
8,2,71,Brock Purdy,QB,San Francisco 49ers,FULLYLOADED,Brock Purdy,San Francisco 49ers,1,2,1,New York Giants,0,0
8,1,72,Tre Tucker,WR,Las Vegas Raiders,GABRAINOS,Daniel Jones,Indianapolis Colts,0,,,Jacksonville Jaguars,0,0
9,1,1,Christian McCaffrey,RB,San Francisco 49ers,HUFFY09,Jaxson Dart,New York Giants,0,,,New York Giants,3,1
9,2,2,Jonathan Taylor,RB,Indianapolis Colts,FULLYLOADED,Brock Purdy,San Francisco 49ers,0,,,Pittsburgh Steelers,0,0
9,3,3,Jahmyr Gibbs,RB,Detroit Lions,GUNNEROSS,Aaron Rodgers,Pittsburgh Steelers,0,,,Minnesota Vikings,0,0
9,4,4,Ja'Marr Chase,WR,Cincinnati Bengals,SND99,Matthew Stafford,Los Angeles Rams,0,,,Chicago Bears,0,0
9,5,5,Bijan Robinson,RB,Atlanta Falcons,BUSTERSBOYS,Justin Herbert,Los Angeles Chargers,0,,,New England Patriots,0,0
9,6,6,Puka Nacua,WR,Los Angeles Rams,MATHOLOGY,Drake Maye,New England Patriots,0,,,New Orleans Saints,0,0
9,7,7,Josh Jacobs,RB,Green Bay Packers,D4VE,Josh Allen,Buffalo Bills,0,,,Carolina Panthers,0,0
9,8,8,Kyren Williams,RB,Los Angeles Rams,BESTBALLVIPER,J.J. McCarthy,Minnesota Vikings,0,,,New Orleans Saints,0,0
9,9,9,James Cook,RB,Buffalo Bills,LINEOFSCRIM,Daniel Jones,Indianapolis Colts,0,,,Kansas City Chiefs,0,0
9,10,10,Amon-Ra St. Brown,WR,Detroit Lions,MIKEC6212,Jared Goff,Detroit Lions,1,,,Minnesota Vikings,0,0
9,11,11,Rashee Rice,WR,Kansas City Chiefs,TUBINIS2121,Patrick Mahomes,Kansas City Chiefs,1,,,Buffalo Bills,1,1
9,12,12,Ashton Jeanty,RB,Las Vegas Raiders,URBANIK,Jordan Love,Green Bay Packers,0,,,Jacksonville Jaguars,1,1
9,12,13,Tucker Kraft,TE,Green Bay Packers,URBANIK,Jordan Love,Green Bay Packers,1,,,Carolina Panthers,0,0
9,11,14,Patrick Mahomes,QB,Kansas City Chiefs,TUBINIS2121,Patrick Mahomes,Kansas City Chiefs,1,2,1,Buffalo Bills,1,1
9,10,15,Kimani Vidal,RB,Los Angeles Chargers,MIKEC6212,Jared Goff,Detroit Lions,0,,,Tennessee Titans,0,0
9,9,16,D'Andre Swift,RB,Chicago Bears,LINEOFSCRIM,Daniel Jones,Indianapolis Colts,0,,,Cincinnati Bengals,0,0
9,8,17,Justin Jefferson,WR,Minnesota Vikings,BESTBALLVIPER,J.J. McCarthy,Minnesota Vikings,1,,,Detroit Lions,0,0
9,7,18,Josh Allen,QB,Buffalo Bills,D4VE,Josh Allen,Buffalo Bills,1,0,0,Kansas City Chiefs,0,0
9,6,19,Chase Brown,RB,Cincinnati Bengals,MATHOLOGY,Drake Maye,New England Patriots,0,,,Chicago Bears,0,0
9,5,20,Rome Odunze,WR,Chicago Bears,BUSTERSBOYS,Justin Herbert,Los Angeles Chargers,0,,,Cincinnati Bengals,0,0
9,4,21,Davante Adams,WR,Los Angeles Rams,SND99,Matthew Stafford,Los Angeles Rams,1,,,New Orleans Saints,1,1
9,3,22,DK Metcalf,WR,Pittsburgh Steelers,GUNNEROSS,Aaron Rodgers,Pittsburgh Steelers,1,,,Indianapolis Colts,0,0
9,2,23,Ladd McConkey,WR,Los Angeles Chargers,FULLYLOADED,Brock Purdy,San Francisco 49ers,0,,,Tennessee Titans,0,0
9,1,24,Jaylen Warren,RB,Pittsburgh Steelers,HUFFY09,Jaxson Dart,New York Giants,0,,,Indianapolis Colts,0,0
9,1,25,Chris Olave,WR,New Orleans Saints,HUFFY09,Jaxson Dart,New York Giants,0,,,Los Angeles Rams,0,0
9,2,26,George Kittle,TE,San Francisco 49ers,FULLYLOADED,Brock Purdy,San Francisco 49ers,1,,,New York Giants,0,0
9,3,27,Travis Etienne Jr.,RB,Jacksonville Jaguars,GUNNEROSS,Aaron Rodgers,Pittsburgh Steelers,0,,,Las Vegas Raiders,0,0
9,4,28,Tyrone Tracy,RB,New York Giants,SND99,Matthew Stafford,Los Angeles Rams,0,,,San Francisco 49ers,0,0
9,5,29,Tyler Warren,TE,Indianapolis Colts,BUSTERSBOYS,Justin Herbert,Los Angeles Chargers,0,,,Pittsburgh Steelers,0,0
9,6,30,Drake Maye,QB,New England Patriots,MATHOLOGY,Drake Maye,New England Patriots,1,0,0,Atlanta Falcons,0,0
9,7,31,Brock Bowers,TE,Las Vegas Raiders,D4VE,Josh Allen,Buffalo Bills,0,,,Jacksonville Jaguars,0,0
9,8,32,Nico Collins,WR,Houston Texans,BESTBALLVIPER,J.J. McCarthy,Minnesota Vikings,0,,,Denver Broncos,0,0
9,9,33,Travis Hunter,WR,Jacksonville Jaguars,LINEOFSCRIM,Daniel Jones,Indianapolis Colts,0,,,Las Vegas Raiders,0,0
9,10,34,Sam LaPorta,TE,Detroit Lions,MIKEC6212,Jared Goff,Detroit Lions,1,,,Minnesota Vikings,0,0
9,11,35,Rhamondre Stevenson,RB,New England Patriots,TUBINIS2121,Patrick Mahomes,Kansas City Chiefs,0,,,Atlanta Falcons,0,0
9,12,36,Drake London,WR,Atlanta Falcons,URBANIK,Jordan Love,Green Bay Packers,0,,,New England Patriots,0,0
9,12,37,Brian Thomas,WR,Jacksonville Jaguars,URBANIK,Jordan Love,Green Bay Packers,0,,,Las Vegas Raiders,1,1
9,11,38,Xavier Worthy,WR,Kansas City Chiefs,TUBINIS2121,Patrick Mahomes,Kansas City Chiefs,1,,,Buffalo Bills,1,1
9,10,39,Jared Goff,QB,Detroit Lions,MIKEC6212,Jared Goff,Detroit Lions,1,2,1,Minnesota Vikings,0,0
9,9,40,Michael Pittman Jr.,WR,Indianapolis Colts,LINEOFSCRIM,Daniel Jones,Indianapolis Colts,1,,,Pittsburgh Steelers,0,0
9,8,41,Rico Dowdle,RB,Carolina Panthers,BESTBALLVIPER,J.J. McCarthy,Minnesota Vikings,0,,,Green Bay Packers,0,0
9,7,42,Stefon Diggs,WR,New England Patriots,D4VE,Josh Allen,Buffalo Bills,0,,,Atlanta Falcons,0,0
9,6,43,Oronde Gadsden,TE,Los Angeles Chargers,MATHOLOGY,Drake Maye,New England Patriots,0,,,Tennessee Titans,0,0
9,5,44,Justin Herbert,QB,Los Angeles Chargers,BUSTERSBOYS,Justin Herbert,Los Angeles Chargers,1,1,1,Tennessee Titans,0,0
9,4,45,Kareem Hunt,RB,Kansas City Chiefs,SND99,Matthew Stafford,Los Angeles Rams,0,,,Buffalo Bills,0,0
